# BITSTREAM WILL NO LONGER BE PROCESSED report for to 2/14/14
bitstream-id	process-start-date	process-end-date	checksum-expected	checksum-calculated	result	internal-id	item	collection	community	source
86	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		40905641149721655280524767420983248973				
87	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	d5bc45209ca6efd245e1326b45d5ca27	d5bc45209ca6efd245e1326b45d5ca27		78930229480078763689238218978633479441				
88	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		24347356290820080433100920522713468204				
89	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	342fc9eb47079dcdb0c378e57f3e9bf1	342fc9eb47079dcdb0c378e57f3e9bf1		116178426126899712574228309648569389933				
90	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		104644419355916747792069338683569899699				
91	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		160597268798770054828280792657115602291				
92	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		100126182015488660364425850040708119673				
93	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	32c471bd2a4e1a24ada250e139db7c07	32c471bd2a4e1a24ada250e139db7c07		75652432796569411126940089472560708563				
94	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	641f8452e68b0927967681638fbf6fc2	641f8452e68b0927967681638fbf6fc2		21168436157962980431847938716798119492				
95	2014-30-28 16:30:27.431	2014-30-28 16:30:27.431	c88551dec8b653230193c5dd2c0682d2	c88551dec8b653230193c5dd2c0682d2		84348524540435266018372547483832992591				
